Model
ball1
    0,1,2
    1,0,3
    4,5,6
    5,4,7
    8,9,10
    9,8,11
    12,13,14
    13,12,15
    16,17,18
    17,16,19
    20,21,22
    21,20,23
    24,25,26
    25,24,27
    28,29,30
    31,32,33
    34,35,36
    37,38,39
    40,41,42
    43,44,45
    44,43,46
    47,48,49
    48,47,50
    51,52,53
    52,51,54
    55,56,57
    56,55,58
    59,60,61
    60,59,62
    63,64,65
    64,63,66
    67,68,69
    68,67,70
    71,72,73
    72,71,74
    75,76,77
    76,75,78
    79,80,81
    80,79,82
    83,84,85
    84,83,86
    87,88,89
    88,87,90
    91,92,93
    94,95,96
    97,98,99
    100,101,102
    103,104,105
    106,107,108
    109,110,111
    112,113,114
    115,116,117
    118,119,120
    121,122,123
    124,125,126
    127,128,129
    130,131,132
    133,134,135
    136,137,138
    137,136,139
    140,141,142
    141,140,143
    144,145,146
    145,144,147
    148,149,150
    149,148,151
    152,153,154
    153,152,155
    156,157,158
    157,156,159
    160,161,162
    161,160,163
    164,165,166
    165,164,167
    168,169,170
    169,168,171
    172,173,174
    173,172,175
    176,177,178
    177,176,179
    180,181,182
    181,180,183
    184,185,186
    185,184,187
    188,189,190
    189,188,191
    192,193,194
    193,192,195
    196,197,198
    197,196,199
    200,201,202
    201,200,203
    204,205,206
    205,204,207
    208,209,210
    209,208,211
    212,213,214
    213,212,215
    216,217,218
    217,216,219
    220,221,222
    221,220,223
    224,225,226
    225,224,227
    228,229,230
    229,228,231
    232,233,234
    233,232,235
    236,237,238
    237,236,239
    240,241,242
    241,240,243
    244,245,246
    245,244,247
    248,249,250
    249,248,251
    252,253,254
    253,252,255
    256,257,258
    257,256,259
    260,261,262
    261,260,263
    264,265,266
    265,264,267
    268,269,270
    269,268,271
    272,273,274
    273,272,275
    276,277,278
    277,276,279
    280,281,282
    283,281,280
    283,284,281
    285,284,283
    285,286,284
    287,286,285
    287,288,286
    289,288,287
    289,290,288
    291,290,289
    290,291,292
    293,294,295
    294,293,296
    297,298,299
    298,297,300
    301,302,303
    302,301,304
    305,306,307
    306,305,308
    309,310,311
    310,309,312
    313,314,315
    314,313,316
    317,318,319
    318,317,320
    321,322,323
    322,321,324
    325,326,327
    326,325,328
    329,330,331
    330,329,332
    333,334,335
    334,333,336
    337,338,339
    338,337,340
    341,342,343
    342,341,344
    345,346,347
    346,345,348
    349,350,351
    350,349,352
    353,354,355
    354,353,356
    357,358,359
    358,357,360
    361,362,363
    364,365,366
    367,368,369
    368,367,370
    371,372,373
    372,371,374
    375,376,377
    376,375,378
    379,380,381
    380,379,382
    383,384,385
    384,383,386
    387,388,389
    388,387,390
    391,392,393
    392,391,394
    395,396,397
    396,395,398
    399,400,401
    400,399,402
    403,404,405
    404,403,406
    407,408,409
    408,407,410
    411,412,413
    412,411,414
    415,416,417
    416,415,418
    419,420,421
    420,419,422
    423,424,425
    424,423,426
    427,428,294
    428,427,429
    430,431,432
    431,430,433
    434,435,436
    435,434,437
    423,438,439
    438,423,440
    441,442,443
    442,441,444
    445,446,447
    446,445,448
    449,450,451
    450,449,452
    453,454,455
    454,453,456
    457,458,459
    458,457,460
    461,462,463
    462,461,464
    465,466,467
    466,465,468
    469,470,471
    470,469,472
    473,474,475
    474,473,476
    477,478,479
    478,477,480
    481,482,483
    482,481,484
    485,486,487
    486,485,488
    489,490,491
    490,489,492
    493,494,495
    494,493,496
    497,498,499
    498,497,500
    501,502,503
    502,501,504
    505,506,507
    506,505,508
    509,510,511
    510,509,512
    513,514,515
    514,513,516
    517,518,519
    518,517,520
    521,522,523
    524,522,521
    280,522,524
    280,282,522
    525,526,527
    526,525,528
    529,530,531
    530,529,532
    533,534,535
    534,533,536
    537,538,539
    538,537,540
    541,542,543
    542,541,544
    545,546,547
    546,545,548
    549,550,551
    550,549,552
    553,554,555
    554,553,556
    557,558,559
    558,557,560
    561,562,563
    562,561,564
    565,566,567
    565,523,566
    521,523,565
    568,569,570
    569,568,571
    572,573,574
    573,572,575
    576,577,578
    577,576,579
    580,581,582
    581,580,583
    584,585,586
    585,584,587
    588,589,590
    589,588,591
    592,593,594
    593,592,595
    596,597,598
    599,600,601
    602,603,604
    603,602,605
    606,607,608
    607,606,609
    610,611,612
    611,610,613
    614,615,616
    615,614,617
    618,619,620
    619,618,621
    622,623,624
    623,622,625
    626,627,628
    629,630,631
    632,633,634
    635,636,637
    638,639,640
    641,642,643
    644,645,646
    647,648,649
    650,364,651
    652,363,653
    598,654,655
    601,656,657
    640,658,659
